customer_id,age,gender,region,annual_income,monthly_spend,loyalty_points,purchases_per_month,avg_session_duration_min,days_since_last_purchase,return_rate_pct,customer_satisfaction_score,membership_tier,primary_category,device_preference,cluster_label
CUST000025,22,Female,West,10000.0,609.08,26293,1.0,13.8,3,6.49,3.9,Bronze,Electronics,Mobile,0
CUST000026,20,Male,North,10000.0,435.35,35742,2.4,17.6,4,4.71,3.6,Bronze,Sports,Mobile,0
CUST000027,30,Female,East,41607.06,2853.04,72929,13.0,57.4,111,5.41,3.4,Gold,Luxury,Tablet,1
CUST000028,20,Male,North,10000.0,627.71,30525,4.4,14.5,22,4.63,3.0,Bronze,Electronics,Mobile,0
CUST000029,20,Male,North,10000.0,531.19,31826,3.6,13.5,10,5.77,3.5,Bronze,Home & Garden,Desktop,0
CUST000030,27,Male,North,85239.99,4222.99,147177,28.4,80.9,25,4.51,3.4,Platinum,Home & Garden,Mobile,3
CUST000031,23,Female,East,10000.0,647.69,29751,1.0,13.4,33,5.19,3.8,Bronze,Electronics,Mobile,0
CUST000032,45,Male,North,10000.0,271.88,21026,1.0,8.4,36,2.68,5.0,Bronze,Electronics,Mobile,4
CUST000033,51,Female,North,10000.0,659.77,56070,6.4,19.6,46,3.81,3.9,Silver,Sports,Desktop,2
CUST000034,49,Male,East,10000.0,811.36,60118,3.6,28.5,44,4.35,3.8,Silver,Fashion,Mobile,2
CUST000035,27,Female,West,96317.65,4722.05,99717,20.9,90.3,25,3.75,4.2,Platinum,Luxury,Desktop,3
CUST000036,42,Female,West,44769.95,3063.47,99776,10.2,47.3,5,4.49,3.9,Platinum,Luxury,Desktop,1
CUST000037,45,Male,South,10000.0,291.9,22254,1.3,11.6,21,2.75,3.7,Bronze,Fashion,Mobile,4
CUST000038,45,Female,North,10000.0,371.58,21310,1.3,11.6,37,4.56,4.6,Bronze,Electronics,Mobile,4
CUST000039,19,Male,North,10000.0,506.59,23600,1.6,22.8,8,5.04,3.3,Bronze,Electronics,Mobile,0
CUST000040,18,Female,North,10000.0,424.53,45327,2.0,18.7,3,6.22,2.9,Bronze,Fashion,Desktop,0
CUST000041,20,Female,North,10000.0,498.42,33005,2.8,15.5,8,5.08,3.7,Bronze,Fashion,Mobile,0
CUST000042,53,Male,East,10000.0,256.35,26704,1.0,5.6,42,2.11,3.9,Gold,Sports,Desktop,4
CUST000043,27,Male,South,99689.61,3706.65,134951,11.1,69.0,44,4.28,3.9,Gold,Fashion,Mobile,3
CUST000044,26,Male,South,88179.87,6267.09,103892,14.3,81.4,17,4.62,4.1,Silver,Fashion,Mobile,3
CUST000045,36,Male,North,50564.24,3371.51,97675,11.0,49.8,19,4.38,3.2,Silver,Fashion,Mobile,1
CUST000046,44,Male,North,10000.0,834.46,61321,3.3,38.4,50,4.82,4.4,Silver,Home & Garden,Desktop,2
CUST000047,52,Male,South,10000.0,629.44,46276,3.5,47.1,37,3.91,4.5,Bronze,Fashion,Desktop,2
CUST000048,45,Female,South,10000.0,260.18,24031,1.0,12.1,70,3.08,4.1,Silver,Electronics,Mobile,4
CUST000049,23,Female,East,10000.0,302.29,34194,1.1,26.9,1,5.73,3.2,Bronze,Home & Garden,Mobile,0
CUST000050,26,Male,West,10000.0,725.63,21321,1.5,17.6,2,4.21,3.4,Gold,Fashion,Mobile,0
CUST000051,30,Female,North,71350.81,6423.55,146038,19.7,101.4,39,3.89,4.1,Platinum,Home & Garden,Mobile,3
CUST000052,18,Male,South,10000.0,704.83,29922,3.1,13.0,44,5.39,3.6,Bronze,Electronics,Desktop,0
CUST000053,43,Male,West,10000.0,346.89,21791,1.0,9.1,37,2.06,4.1,Bronze,Sports,Desktop,4
CUST000054,42,Male,North,10110.65,1234.99,43006,4.2,39.2,118,3.42,3.7,Bronze,Electronics,Desktop,2
CUST000055,57,Male,West,11287.09,895.49,54062,1.8,45.9,71,3.07,3.3,Gold,Luxury,Mobile,2
CUST000056,25,Male,West,10000.0,475.72,34148,3.2,5.1,90,5.27,3.2,Bronze,Luxury,Mobile,0
CUST000057,35,Female,East,44481.75,1396.76,64337,11.1,66.7,44,5.76,4.2,Bronze,Luxury,Desktop,1
CUST000058,36,Female,West,35625.74,2399.56,111696,12.4,59.4,41,2.39,3.5,Platinum,Sports,Desktop,1
CUST000059,26,Female,West,62724.59,4925.88,134331,15.8,81.8,32,2.28,4.2,Gold,Sports,Mobile,3
CUST000060,49,Male,North,10000.0,392.42,25048,1.0,7.8,64,3.02,3.9,Silver,Electronics,Desktop,4
CUST000061,38,Female,East,42574.76,2513.64,95799,10.1,57.5,23,6.16,3.6,Gold,Home & Garden,Desktop,1
CUST000062,50,Male,West,10000.0,642.29,53232,5.4,35.8,37,3.24,3.1,Bronze,Home & Garden,Mobile,2
CUST000063,37,Female,South,10000.0,419.0,20592,1.0,5.9,27,2.84,4.7,Gold,Electronics,Mobile,4
CUST000064,35,Female,South,45881.93,3414.87,63838,10.2,62.7,97,6.27,4.0,Gold,Luxury,Mobile,1
CUST000065,47,Male,South,10000.0,334.82,21929,1.0,5.4,22,1.57,3.5,Bronze,Fashion,Tablet,4
CUST000066,35,Male,North,39434.72,3260.25,55388,15.8,59.3,35,4.78,4.0,Silver,Sports,Desktop,1
CUST000067,57,Female,West,12969.7,983.05,53251,6.4,33.4,16,3.53,4.3,Silver,Sports,Desktop,2
CUST000068,46,Male,East,10000.0,311.77,18997,1.4,9.4,25,2.21,5.0,Bronze,Electronics,Mobile,4
CUST000069,56,Male,East,10000.0,647.2,55662,7.3,39.0,120,5.17,3.7,Platinum,Fashion,Desktop,2
CUST000070,40,Female,East,30733.17,2561.03,98720,8.1,72.9,44,3.72,3.9,Gold,Sports,Mobile,1
CUST000071,23,Female,West,103878.35,4245.16,80016,19.3,85.1,44,3.95,4.3,Platinum,Home & Garden,Tablet,3
CUST000072,48,Female,West,10000.0,772.62,61161,2.4,35.0,15,4.18,2.7,Gold,Sports,Mobile,2
CUST000073,33,Female,South,101314.69,4937.31,126852,25.4,99.1,20,3.54,4.1,Platinum,Luxury,Desktop,3
CUST000074,25,Female,North,10000.0,531.13,29229,1.5,9.0,3,4.33,3.4,Silver,Electronics,Desktop,0
CUST000075,21,Female,South,10000.0,627.02,22951,3.1,21.5,55,4.56,3.4,Bronze,Fashion,Desktop,0
CUST000076,41,Female,West,10000.0,381.83,19652,1.2,8.9,37,1.98,3.9,Bronze,Luxury,Desktop,4
CUST000077,35,Female,South,36715.08,2314.6,97829,14.8,73.5,66,5.44,3.9,Platinum,Sports,Desktop,1
CUST000078,38,Male,West,50480.15,2883.51,76893,10.8,52.2,10,2.76,3.8,Platinum,Fashion,Mobile,1
CUST000079,43,Female,South,57511.33,2308.6,93622,13.4,57.0,30,5.69,4.6,Gold,Electronics,Mobile,1
CUST000080,18,Male,North,10000.0,519.76,28661,2.6,15.0,4,6.64,2.8,Bronze,Fashion,Mobile,0
CUST000081,58,Female,East,10000.0,450.18,40307,6.2,49.1,79,4.32,4.5,Gold,Home & Garden,Mobile,2
CUST000082,51,Male,South,10000.0,328.94,18965,1.0,6.1,43,5.18,4.4,Gold,Fashion,Mobile,4
CUST000083,35,Male,East,36316.57,1480.4,100075,8.0,75.6,8,5.17,4.0,Gold,Home & Garden,Mobile,1
CUST000084,28,Female,South,111229.24,4473.03,159144,23.8,66.0,30,2.53,4.0,Platinum,Sports,Desktop,3
CUST000085,21,Female,South,10000.0,761.67,28336,2.0,11.6,41,5.29,4.3,Bronze,Fashion,Tablet,0
CUST000086,18,Female,West,10000.0,444.38,31787,1.9,20.9,36,6.64,3.1,Silver,Fashion,Desktop,0
CUST000087,42,Female,South,41440.36,2024.06,82463,11.4,73.7,36,5.2,3.2,Bronze,Home & Garden,Desktop,1
CUST000088,69,Female,East,10122.8,757.52,55114,2.6,47.0,20,3.92,4.0,Bronze,Home & Garden,Mobile,2
CUST000089,31,Female,East,109182.97,3965.27,117061,13.1,91.9,15,4.34,3.7,Gold,Luxury,Mobile,3
CUST000090,40,Male,East,45116.82,2110.14,64821,11.1,63.1,23,5.13,4.4,Silver,Electronics,Desktop,1
CUST000091,52,Male,North,10000.0,376.29,21361,1.0,7.2,33,2.81,3.0,Bronze,Electronics,Mobile,4
CUST000092,49,Female,North,10000.0,704.97,61159,6.6,43.9,53,3.26,3.9,Gold,Home & Garden,Mobile,2
CUST000093,37,Male,South,10000.0,116.6,24740,1.0,10.1,32,3.49,4.1,Silver,Electronics,Tablet,4
CUST000094,33,Male,East,65357.07,1478.8,79654,15.4,59.9,11,4.75,2.8,Silver,Luxury,Mobile,1
CUST000095,49,Male,East,10000.0,192.72,23051,1.1,11.4,26,1.91,4.9,Bronze,Electronics,Mobile,4
CUST000096,30,Female,South,80486.73,6355.68,141468,17.8,85.0,33,2.91,3.2,Gold,Luxury,Desktop,3
CUST000097,24,Female,West,10000.0,661.0,27078,1.0,17.8,19,4.89,3.6,Bronze,Luxury,Mobile,0
CUST000098,30,Female,North,68041.82,3496.95,96871,18.5,94.0,18,4.95,3.4,Gold,Home & Garden,Tablet,3
CUST000099,62,Male,North,10000.0,1447.59,57265,4.8,40.9,27,3.99,4.1,Silver,Luxury,Desktop,2
CUST000100,32,Male,South,48156.67,2259.39,83219,12.4,75.6,74,7.12,3.9,Bronze,Fashion,Tablet,1
CUST000101,49,Female,South,10000.0,284.89,21575,1.7,7.9,60,4.24,4.6,Silver,Electronics,Tablet,4
CUST000102,26,Male,East,88181.4,3866.27,128899,21.8,83.9,60,4.16,2.4,Gold,Home & Garden,Tablet,3
CUST000103,32,Female,North,73253.7,3650.89,122280,21.5,92.6,154,3.16,4.2,Platinum,Fashion,Tablet,3
CUST000104,45,Male,North,47694.69,2814.28,84453,14.9,72.1,10,4.52,4.4,Platinum,Fashion,Desktop,1
CUST000105,35,Male,North,46390.43,2199.87,85780,16.2,56.4,34,4.85,4.0,Gold,Electronics,Desktop,1
CUST000106,51,Female,South,10000.0,279.79,19847,1.0,13.2,38,2.12,4.3,Gold,Fashion,Desktop,4
CUST000107,56,Female,East,10703.47,747.48,30969,4.6,56.9,29,5.7,4.0,Silver,Home & Garden,Mobile,2
CUST000108,22,Female,South,10000.0,401.94,26161,1.0,13.2,26,3.84,3.4,Bronze,Fashion,Mobile,0
CUST000109,49,Female,North,10000.0,238.1,24788,1.1,6.3,60,4.12,4.4,Silver,Fashion,Mobile,4
CUST000110,59,Female,East,10000.0,597.03,43798,5.2,53.0,65,5.14,3.4,Bronze,Home & Garden,Mobile,2
CUST000111,43,Female,West,10000.0,378.97,17104,1.0,12.7,46,2.34,3.8,Silver,Fashion,Mobile,4
CUST000112,32,Female,East,79909.38,5705.82,119088,21.6,85.4,167,2.69,4.2,Platinum,Sports,Mobile,3
CUST000113,26,Female,West,119235.22,4744.41,155516,28.6,84.9,30,5.29,4.2,Platinum,Sports,Tablet,3
CUST000114,50,Male,South,10000.0,581.45,59500,6.6,35.2,18,4.44,4.1,Bronze,Fashion,Desktop,2
CUST000115,45,Female,West,10676.95,747.01,67518,7.8,31.5,16,2.77,3.8,Gold,Home & Garden,Tablet,2
CUST000116,61,Male,East,10000.0,1029.11,66896,5.3,36.8,21,4.5,3.6,Bronze,Sports,Desktop,2
CUST000117,24,Male,South,10000.0,490.54,31711,1.3,10.3,4,4.67,2.8,Bronze,Electronics,Mobile,0
CUST000118,23,Female,North,10000.0,674.04,30375,3.6,14.4,51,3.3,3.2,Bronze,Fashion,Desktop,0
CUST000119,42,Male,South,10000.0,142.36,25681,1.0,11.3,59,2.7,4.8,Bronze,Electronics,Mobile,4
CUST000120,23,Male,South,89491.13,5119.89,122676,21.7,88.2,82,2.94,4.2,Gold,Home & Garden,Mobile,3
CUST000121,30,Female,North,85635.71,4292.47,148920,19.4,85.2,56,3.3,4.5,Gold,Home & Garden,Mobile,3
CUST000122,38,Female,North,10000.0,284.38,31004,1.0,5.7,46,3.53,5.0,Bronze,Electronics,Desktop,4
CUST000123,31,Female,West,108404.02,4182.78,127536,22.9,71.2,49,3.58,3.5,Platinum,Luxury,Desktop,3
CUST000124,40,Female,North,10000.0,391.4,24253,1.3,6.7,29,5.77,3.9,Silver,Fashion,Mobile,4
CUST000125,37,Male,East,40829.73,2421.08,82012,4.5,63.8,44,4.77,4.5,Gold,Fashion,Desktop,1
CUST000126,42,Male,South,36393.12,2821.53,68722,12.7,56.5,10,3.26,3.7,Platinum,Luxury,Desktop,1
CUST000127,48,Male,South,10000.0,668.73,54672,8.8,42.6,22,4.85,3.0,Silver,Fashion,Desktop,2
CUST000128,52,Female,South,10000.0,1253.58,42739,3.0,41.8,29,4.02,4.1,Silver,Sports,Mobile,2
CUST000129,59,Female,West,10000.0,870.15,34675,7.2,40.6,32,2.35,3.0,Bronze,Fashion,Tablet,2
CUST000130,48,Male,East,10000.0,539.11,54026,5.9,32.7,67,5.38,4.1,Silver,Home & Garden,Desktop,2
CUST000131,30,Female,East,51484.03,2556.28,89025,13.9,56.7,51,4.53,3.2,Bronze,Home & Garden,Tablet,1
CUST000132,27,Male,West,101050.62,3923.04,162165,25.9,89.7,77,5.85,4.3,Gold,Luxury,Mobile,3
CUST000133,26,Female,East,36279.78,1444.56,78372,4.6,70.2,6,5.08,4.0,Gold,Sports,Mobile,1
CUST000134,44,Female,West,49714.63,2322.16,97785,10.7,54.9,59,5.18,4.0,Gold,Luxury,Mobile,1
CUST000135,24,Male,West,10000.0,527.52,31902,2.7,18.1,20,6.27,3.7,Bronze,Home & Garden,Mobile,0
CUST000136,30,Female,West,103057.93,5623.65,116192,23.1,97.4,37,3.81,4.1,Platinum,Sports,Mobile,3
CUST000137,55,Male,West,10000.0,756.69,63856,7.4,32.1,19,3.63,4.4,Bronze,Electronics,Mobile,2
CUST000138,43,Female,East,10000.0,418.68,18221,1.0,6.8,20,1.92,4.2,Bronze,Electronics,Mobile,4
CUST000139,23,Male,West,10000.0,492.99,25802,1.9,14.1,10,5.44,3.9,Silver,Sports,Mobile,0
CUST000140,24,Female,West,10000.0,541.4,26954,1.9,17.1,34,3.67,3.6,Bronze,Sports,Desktop,0
CUST000141,49,Female,East,10000.0,416.1,21567,1.1,11.3,50,2.0,3.6,Bronze,Sports,Mobile,4
CUST000142,33,Male,East,48325.9,2046.22,107275,14.4,73.6,7,4.58,3.4,Gold,Luxury,Desktop,1
CUST000143,25,Male,East,105287.33,4786.75,92109,18.9,80.3,53,3.25,4.0,Platinum,Fashion,Mobile,3
CUST000144,27,Female,East,101374.21,4939.25,109213,21.2,86.6,87,4.49,3.7,Platinum,Luxury,Mobile,3
CUST000145,54,Female,North,10000.0,895.04,64631,4.8,41.6,26,3.2,2.6,Bronze,Home & Garden,Desktop,2
CUST000146,26,Female,North,73530.77,6028.92,135921,24.6,64.3,31,4.36,4.5,Gold,Sports,Mobile,3
CUST000147,30,Male,West,43554.81,3242.37,89909,11.0,66.0,12,5.23,3.9,Platinum,Fashion,Desktop,1
CUST000148,37,Female,East,45985.55,1642.12,97296,13.9,59.2,20,4.94,3.8,Platinum,Sports,Mobile,1
CUST000149,28,Female,East,85130.49,4268.28,108054,23.0,87.1,23,3.42,4.5,Platinum,Home & Garden,Mobile,3
CUST000150,27,Female,West,10000.0,271.16,27143,1.5,17.5,21,3.99,3.1,Bronze,Electronics,Mobile,0
CUST000151,30,Male,East,102487.95,5012.62,153632,21.0,74.4,15,3.66,3.4,Platinum,Luxury,Mobile,3
CUST000152,50,Female,East,10000.0,247.57,26527,1.2,1.0,54,3.01,5.0,Bronze,Fashion,Mobile,4
CUST000153,43,Female,West,35202.83,2070.66,76277,7.4,69.9,50,4.59,3.9,Gold,Home & Garden,Tablet,1
CUST000154,25,Female,East,85098.32,5162.47,122016,27.6,56.7,32,3.25,4.1,Gold,Luxury,Mobile,3
CUST000155,33,Male,East,42930.56,1798.57,88599,11.7,71.5,38,4.01,3.6,Silver,Fashion,Tablet,1
CUST000156,23,Male,North,10000.0,803.6,28659,2.6,11.8,10,3.33,3.0,Bronze,Fashion,Mobile,0
CUST000157,44,Male,South,10000.0,298.35,25108,1.0,4.8,24,4.47,4.4,Bronze,Electronics,Desktop,4
CUST000158,26,Female,South,10000.0,475.9,29483,2.0,16.0,4,3.99,2.7,Gold,Home & Garden,Desktop,0
CUST000159,36,Male,North,35204.02,2043.45,51256,13.3,60.3,44,5.5,4.2,Gold,Sports,Mobile,1
CUST000160,30,Male,North,38313.7,2879.83,94566,11.1,54.0,20,4.79,3.7,Gold,Sports,Desktop,1
CUST000161,18,Female,West,43233.72,3529.72,99495,13.0,70.5,20,3.62,3.2,Gold,Fashion,Mobile,1
CUST000162,23,Female,North,10000.0,457.96,25141,1.0,11.5,2,5.12,3.6,Bronze,Electronics,Mobile,0
CUST000163,26,Female,East,38545.45,2634.82,71810,6.9,54.4,56,5.45,3.7,Silver,Sports,Mobile,1
CUST000164,32,Female,West,110092.13,3409.06,127326,24.3,78.3,37,3.63,3.9,Platinum,Sports,Mobile,3
CUST000165,24,Male,North,10000.0,279.02,26499,3.6,10.2,4,3.83,3.6,Bronze,Electronics,Tablet,0
CUST000166,33,Female,South,46781.25,2025.84,73360,12.2,61.3,57,3.78,3.7,Bronze,Luxury,Mobile,1
CUST000167,40,Male,South,33910.56,1666.3,71976,7.5,46.3,34,4.31,3.8,Silver,Fashion,Desktop,1
CUST000168,19,Female,North,10000.0,680.7,38095,2.4,14.7,15,4.37,3.4,Silver,Electronics,Mobile,0
CUST000169,49,Female,East,10000.0,1036.63,51749,8.8,38.7,34,4.52,3.6,Silver,Electronics,Mobile,2
CUST000170,32,Female,South,110158.48,4581.01,99920,25.4,100.1,15,2.89,4.1,Gold,Sports,Mobile,3
CUST000171,33,Female,South,79612.92,3122.17,102710,16.2,86.9,33,0.69,4.1,Gold,Home & Garden,Mobile,3
CUST000172,56,Female,South,10000.0,1109.97,54831,7.6,39.7,73,4.01,4.1,Platinum,Home & Garden,Tablet,2
CUST000173,70,Male,North,10000.0,786.77,57864,4.6,39.5,23,4.01,3.2,Bronze,Sports,Tablet,2
CUST000174,49,Male,South,10000.0,331.87,26805,1.0,10.3,83,2.13,4.0,Bronze,Electronics,Desktop,4
CUST000175,58,Male,East,10000.0,639.92,41128,3.9,22.0,38,4.43,3.5,Silver,Home & Garden,Tablet,2
CUST000176,36,Female,South,42401.21,1643.99,105625,7.8,46.2,17,3.69,3.2,Gold,Luxury,Tablet,1
CUST000177,36,Female,South,47167.31,3173.9,78849,8.6,61.2,23,4.94,4.1,Bronze,Luxury,Tablet,1
CUST000178,23,Male,East,10000.0,824.6,31886,2.5,8.1,44,5.08,3.5,Gold,Electronics,Mobile,0
CUST000179,18,Female,East,10000.0,579.14,34858,3.0,10.4,19,3.93,3.3,Silver,Fashion,Mobile,0
CUST000180,25,Male,West,100358.75,4124.19,131026,10.1,63.2,102,1.78,3.7,Platinum,Luxury,Mobile,3
CUST000181,48,Male,North,10000.0,258.21,25201,1.0,9.0,51,3.22,3.8,Bronze,Sports,Desktop,4
CUST000182,55,Female,North,10000.0,1009.87,62917,6.1,47.6,25,3.95,4.2,Silver,Fashion,Mobile,2
CUST000183,41,Female,South,10000.0,302.79,29234,1.0,10.3,66,4.18,3.8,Bronze,Fashion,Tablet,4
CUST000184,52,Female,East,10000.0,293.95,24412,1.2,12.5,124,3.13,3.7,Bronze,Fashion,Tablet,4
CUST000185,57,Female,West,10000.0,744.1,50710,6.9,25.6,90,4.76,3.2,Gold,Electronics,Tablet,2
CUST000186,22,Female,South,10000.0,692.22,32067,2.7,15.6,22,5.9,3.1,Bronze,Electronics,Mobile,0
CUST000187,18,Male,East,10000.0,578.98,31514,3.3,15.0,1,4.2,3.6,Bronze,Electronics,Mobile,0
CUST000188,33,Female,North,86613.06,5110.99,126677,14.5,84.8,158,2.39,4.5,Gold,Sports,Mobile,3
CUST000189,51,Male,East,10000.0,861.02,62313,5.4,61.1,37,2.32,4.2,Silver,Fashion,Mobile,2
CUST000190,43,Female,North,10000.0,423.34,21102,1.4,10.0,22,1.76,4.1,Bronze,Electronics,Tablet,4
CUST000191,49,Male,West,10000.0,388.22,19983,1.0,13.1,34,3.97,4.7,Silver,Electronics,Mobile,4
CUST000192,63,Male,East,10000.0,751.42,49533,6.8,52.0,112,4.36,3.2,Bronze,Home & Garden,Mobile,2
CUST000193,46,Male,West,10000.0,413.17,21714,1.0,12.2,32,2.71,4.9,Silver,Fashion,Desktop,4
CUST000194,43,Male,North,41470.46,2423.56,87829,7.2,52.0,19,6.61,3.3,Gold,Luxury,Desktop,1
CUST000195,51,Male,East,10000.0,285.79,25551,1.0,9.3,31,3.16,3.7,Bronze,Electronics,Mobile,4
CUST000196,52,Female,West,10000.0,544.2,61024,1.5,36.2,24,4.96,4.2,Bronze,Home & Garden,Desktop,2
CUST000197,30,Female,East,92029.45,4023.05,131245,21.6,83.0,22,3.78,4.6,Platinum,Sports,Mobile,3
CUST000198,53,Female,South,10000.0,345.7,25362,1.0,12.2,24,1.71,3.9,Silver,Electronics,Mobile,4
CUST000199,38,Male,South,45937.75,2152.96,90334,11.0,68.5,9,5.52,3.7,Silver,Home & Garden,Mobile,1
CUST000200,46,Male,North,10000.0,364.04,26630,1.1,6.5,47,2.42,4.5,Bronze,Fashion,Desktop,4
CUST000201,38,Female,West,45636.92,2365.92,58409,15.6,46.8,45,5.13,3.2,Bronze,Home & Garden,Desktop,1
CUST000202,37,Male,South,46762.41,3102.29,79102,9.6,60.7,108,4.49,4.1,Platinum,Electronics,Desktop,1
CUST000203,25,Female,East,113504.15,5013.33,117366,22.8,81.9,85,3.37,3.8,Gold,Sports,Tablet,3
CUST000204,23,Female,South,10000.0,570.59,35103,2.6,14.6,16,3.39,2.9,Bronze,Fashion,Mobile,0
CUST000205,44,Female,West,10000.0,273.06,23743,1.0,10.6,25,2.01,5.0,Bronze,Home & Garden,Desktop,4
CUST000206,27,Female,South,84116.84,3944.23,138867,24.7,77.1,35,3.61,3.9,Platinum,Luxury,Desktop,3
CUST000207,41,Female,East,10000.0,186.78,21344,1.0,7.5,36,4.29,4.5,Bronze,Luxury,Desktop,4
CUST000208,19,Male,West,10000.0,270.86,30591,3.0,8.5,4,4.61,4.8,Bronze,Fashion,Mobile,0
CUST000209,33,Female,North,52638.96,2388.87,46982,11.2,83.8,34,4.02,3.6,Gold,Electronics,Mobile,1
CUST000210,41,Male,North,10000.0,295.06,19910,1.2,5.6,66,0.66,4.4,Silver,Luxury,Desktop,4
CUST000211,51,Male,North,10000.0,484.81,59553,4.3,43.3,175,4.24,3.7,Gold,Electronics,Tablet,2
CUST000212,25,Female,North,10000.0,335.62,28915,1.0,9.7,3,4.18,2.6,Gold,Electronics,Desktop,0
CUST000213,22,Female,South,10000.0,595.91,31744,2.0,26.8,7,4.98,4.0,Bronze,Fashion,Mobile,0
CUST000214,54,Female,South,10000.0,196.39,23469,1.1,10.0,72,1.51,4.7,Bronze,Electronics,Desktop,4
CUST000215,24,Female,West,10000.0,484.32,31801,2.5,19.6,12,5.25,4.5,Silver,Electronics,Mobile,0
CUST000216,26,Female,North,131367.64,4506.47,109187,18.4,73.5,43,3.7,3.3,Platinum,Fashion,Mobile,3
CUST000217,42,Male,East,34572.65,1914.61,98231,13.5,60.7,86,3.65,4.2,Silver,Home & Garden,Mobile,1
CUST000218,56,Female,North,10000.0,583.5,45662,7.1,25.1,93,2.42,3.6,Bronze,Home & Garden,Desktop,2
CUST000219,31,Male,North,49284.36,1946.33,88904,12.5,54.6,49,6.17,3.9,Gold,Fashion,Mobile,1
CUST000220,36,Male,South,56082.01,2525.93,69898,12.8,55.0,20,3.97,3.2,Silver,Home & Garden,Desktop,1
CUST000221,33,Male,East,87948.17,4787.09,105543,19.9,70.2,22,3.63,4.1,Platinum,Luxury,Desktop,3
CUST000222,49,Female,North,57405.19,2789.9,62906,9.4,53.0,85,5.89,4.6,Bronze,Fashion,Desktop,1
CUST000223,43,Male,West,10000.0,312.51,20445,1.0,8.5,26,3.03,4.3,Bronze,Sports,Mobile,4
CUST000224,26,Male,East,89299.34,3893.7,100056,14.7,68.2,17,2.82,3.2,Platinum,Fashion,Mobile,3
CUST000225,40,Male,North,10000.0,222.79,22762,1.0,10.6,32,1.23,3.7,Bronze,Electronics,Desktop,4
CUST000226,23,Male,West,103707.94,4528.29,118984,24.6,104.8,27,5.22,4.9,Platinum,Luxury,Desktop,3
CUST000227,46,Female,North,10000.0,415.7,27590,1.0,9.7,52,4.39,4.8,Bronze,Home & Garden,Desktop,4
CUST000228,23,Female,South,38778.91,2511.8,65756,15.2,65.7,17,5.09,3.3,Platinum,Fashion,Desktop,1
